"","docPid","left_context","context","right_context","werkwoord","ge_prefix","persoon","zinstype","zinsdeelvolgorde","werkwoordsvolgorde","samengesteld_ww","modaal_hww","samentrekking","word","word_xml","starttag","punct","decennium","subgenre","auteur","datering","genre","titleWords","pid","titel","lokalisering","lokalisering_ruim","fictionalityLevel1"
"11","INT_9fc3e35e-6623-40ea-a25f-8e4ce970f02a"," ende ghi moet mede, Tleven"," es bleven"," exemplare; Elc zie wel vor","blijven","nee","3sing","hoofdzin","SV","PV-VD","nee","nee","nee","es bleven","es bleven",NA,NA,1370,"""secular""","""not applicable""","""1350-1400""","""vers""","""Gruuthuse-handschrift (allegorische gedichten)""","""INT_9fc3e35e-6623-40ea-a25f-8e4ce970f02a""","""Gruuthuse-handschrift (allegorische gedichten)""","Vlaanderen","zuid","""fiction"""
"12","INT_60a08b65-4eb3-4d07-a0a0-bd2e053a1568"," die boem in sulker eer"," Waer ghebleven"," als hi was, Doe hi","blijven","ja","3sing","bijzin","SV","PV-VD","nee","nee","nee","Waer ghebleven","Waer ghebleven",NA,NA,1480,"""secular""","""Willem van Hildegaersberch""","""1470-1490""","""vers""","""Gedichten (Willem van Hildegaersberch)""","""INT_60a08b65-4eb3-4d07-a0a0-bd2e053a1568""","""Gedichten (Willem van Hildegaersberch)""","Holland","noord","""fiction"""
"13","INT_d7790fa5-6d65-492a-887b-8ca24f29344a"," ofte wi over die Jordane"," bleven waren",", also wi begonnen hadden! Mijn","blijven","nee","1pl","bijzin","SV","VD-PV","nee","nee","nee","bleven waren","bleven waren",NA,NA,1440,"""biblical texts"" ""religious""","""Bijbelvertaler van 1360""","""1435-1455""","""proza""","""Bijbelvertaling van 1360, Oude Testament, Zuidnederlandse Historiebijbel, Eerste Historiebijbel""","""INT_d7790fa5-6d65-492a-887b-8ca24f29344a""","""Bijbelvertaling van 1360, Oude Testament, Zuidnederlandse Historiebijbel, Eerste Historiebijbel""","rest","onbekend","""non-fiction"""
"14","INT_d7790fa5-6d65-492a-887b-8ca24f29344a"," was die outste die levende"," bleven was",", ende daer om waende hi","blijven","nee","3sing","bijzin","SV","VD-PV","nee","nee","nee","bleven was","<expan xmlns:xs=""http://www.w3.org/2001/XMLSchema"" xmlns:tei=""http://www.tei-c.org/ns/1.0"" xmlns:ivdnt=""http://www.ivdnt.org/xslt/namespaces"" xmlns:egXML=""http://www.tei-c.org/ns/Examples"" xmlns:dump=""http://www.masereeuw.nl/xslt/dump-xml"" xmlns=""http://www.tei-c.org/ns/1.0"">bleven</expan> <expan xmlns:xs=""http://www.w3.org/2001/XMLSchema"" xmlns:tei=""http://www.tei-c.org/ns/1.0"" xmlns:ivdnt=""http://www.ivdnt.org/xslt/namespaces"" xmlns:egXML=""http://www.tei-c.org/ns/Examples"" xmlns:dump=""http://www.masereeuw.nl/xslt/dump-xml"" xmlns=""http://www.tei-c.org/ns/1.0"">was</expan>",NA,NA,1440,"""biblical texts"" ""religious""","""Bijbelvertaler van 1360""","""1435-1455""","""proza""","""Bijbelvertaling van 1360, Oude Testament, Zuidnederlandse Historiebijbel, Eerste Historiebijbel""","""INT_d7790fa5-6d65-492a-887b-8ca24f29344a""","""Bijbelvertaling van 1360, Oude Testament, Zuidnederlandse Historiebijbel, Eerste Historiebijbel""","rest","onbekend","""non-fiction"""
"15","INT_4b8f5afd-65bb-4c50-b090-a45b28b5a713"," es di ghegheven. Egidius, waer"," bestu bleven","? Mi lanct na di, gheselle","blijven","nee","2sing","hoofdzin","VS","PV-VD","nee","nee","ja","bestu bleven","bestu bleven",NA,NA,1370,"""secular"" ""song"" ""stanzaic""","""not applicable""","""1350-1400""","""vers""","""Gruuthuse-handschrift (liederen)""","""INT_4b8f5afd-65bb-4c50-b090-a45b28b5a713""","""Gruuthuse-handschrift (liederen)""","Vlaanderen","zuid","""fiction"""
"16","INT_352dab3d-a45b-47d0-a8b7-3c913a6dff11"," leuen Na dat ghi doot"," sijt bleuen",NA,"blijven","nee","2pl","bijzin","SV","PV-VD","nee","nee","nee","sijt bleuen","sijt bleuen",NA,NA,1370,"""chivalric romance"" ""epic"" ""secular""","""unknown""","""1350-1400""","""vers""","""Roelantslied, fragment Rotterdam""","""INT_352dab3d-a45b-47d0-a8b7-3c913a6dff11""","""Roelantslied, fragment Rotterdam""","rest","onbekend","""fiction"""
"17","INT_590673c6-9807-4cae-945b-c64fbd445597"," behoude vte rint Dat ons"," es bleuen"," iesint Daer sduuels macht bi","blijven","nee","3sing","bijzin","SV","PV-VD","nee","nee","nee","es bleuen","es bleuen",NA,NA,1350,"""philosophy / ethics"" ""secular""","""Jan van Boendale""","""1340-1360""","""vers""","""Der leken spieghel""","""INT_590673c6-9807-4cae-945b-c64fbd445597""","""Der leken spieghel""","rest","onbekend","""non-fiction"""
"18","INT_49fb151c-d9cb-42bb-9185-0838cc419261"," sere verkeytivet. Dat daer levende"," bleven was"," Moeste ondancs lyen das, Ende","blijven","nee","3sing","bijzin","SV","VD-PV","nee","nee","nee","bleven was","bleven was",NA,NA,1390,"""history"" ""secular""","""Philip Utenbroeke""","""1393-1402""","""vers""","""Spiegel historiael (tweede partie), fragment Wenen""","""INT_49fb151c-d9cb-42bb-9185-0838cc419261""","""Spiegel historiael (tweede partie), fragment Wenen""","rest","onbekend","""non-fiction"""
"19","INT_291a3055-cb2f-4f76-b3b0-a3915550724d"," geven Die scortse ende datter"," es bleven",": Vrucht ende bloessele heeft die","blijven","nee","3sing","bijzin","SV","PV-VD","nee","nee","nee","es bleven","es bleven",NA,NA,1320,"""chivalric romance"" ""epic"" ""secular""","""unknown""","""1300-1350""","""vers""","""Queeste van den Grale""","""INT_291a3055-cb2f-4f76-b3b0-a3915550724d""","""Queeste van den Grale""","Vlaanderen","zuid","""fiction"""
"20","INT_247f363e-e314-483f-9146-c0c8b6d11982"," hoer maghe den hoer guet"," bleven is",", daer men hem mit helpen","blijven","nee","3sing","bijzin","SV","VD-PV","nee","nee","nee","bleven is","bleven is",NA,NA,1470,"""religious"" ""theology / ethics""","""unknown""","""1471-1471""","""proza""","""Cancellierboeck""","""INT_247f363e-e314-483f-9146-c0c8b6d11982""","""Cancellierboeck""","rest","zuid","""non-fiction"""
"21","INT_95fc0418-cda0-42b7-a09a-77bfed40078c"," wielen. want sij hem ghetrouwe"," was. bleven",". Die abt toech ten cloestere","blijven","nee","3sing","bijzin","SV","PV-VD","nee","nee","nee","was. bleven","was. bleven",NA,NA,1490,"""legend"" ""religious""","""unknown""","""1479-1517""","""proza""","""Onser liever vrouwen miraculen""","""INT_95fc0418-cda0-42b7-a09a-77bfed40078c""","""Onser liever vrouwen miraculen""","rest","onbekend","""fiction"""
"22","INT_3ec664dd-3760-4398-b26c-7dbad70eb5f6"," ende woude, Dat hi mettem"," bleven ware","; Maer Joseph maket ommare. Doe","blijven","nee","3sing","bijzin","SV","VD-PV","nee","nee","nee","bleven ware","bleven ware",NA,NA,1310,"""history"" ""secular""","""Jacob van Maerlant""","""1300-1325""","""vers""","""Spiegel historiael (eerste partie / derde partie / vierde partie [aandeel Maerlant])""","""INT_3ec664dd-3760-4398-b26c-7dbad70eb5f6""","""Spiegel historiael (eerste partie / derde partie / vierde partie [aandeel Maerlant])""","Vlaanderen","zuid","""non-fiction"""
"23","INT_3c460b0a-7e20-48c5-a364-356aedb3718e",", Dat ic in eren altoes"," ben bleven","; Nu biddic u, meester ghetrouwe","blijven","nee","1sing","bijzin","SV","PV-VD","nee","nee","nee","ben bleven","ben bleven",NA,NA,1410,"""chivalric romance"" ""drama"" ""secular""","""unknown""","""1400-1420""","""vers""","""Esmoreit""","""INT_3c460b0a-7e20-48c5-a364-356aedb3718e""","""Esmoreit""","rest","onbekend","""fiction"""
"24","INT_aac7808e-ccff-42df-9fa2-d3e8fed1f7a3"," gegheven Het mochte u liever"," sijn bleven",". Die coninc antwoerde: ""Wattan? Ic","blijven","nee","3sing","hoofdzin","SV","PV-VD","nee","ja","nee","sijn bleven","sijn bleven",NA,NA,1350,"""legend"" ""religious""","""unknown""","""1340-1360""","""vers""","""Der ystorien bloeme""","""INT_aac7808e-ccff-42df-9fa2-d3e8fed1f7a3""","""Der ystorien bloeme""","rest","onbekend","""non-fiction"""
"25","INT_b94d9aaf-105c-45f3-ad2b-2ab854ef880a"," algader onder daer bi: U"," sijn bleven"," vele goeder man, Daer dueght","blijven","nee","3pl","hoofdzin","VS","PV-VD","nee","nee","nee","sijn bleven","sijn bleven",NA,NA,1320,"""chivalric romance"" ""epic"" ""secular""","""unknown""","""1300-1350""","""vers""","""Roman van Lancelot, Haagse codex""","""INT_b94d9aaf-105c-45f3-ad2b-2ab854ef880a""","""Roman van Lancelot, Haagse codex""","Vlaanderen","zuid","""fiction"""
"26","INT_3ec664dd-3760-4398-b26c-7dbad70eb5f6"," dien anegrepen, Die te lande"," bleven waren",", Alse Karel woch voer met","blijven","nee","3pl","bijzin","SV","VD-PV","nee","nee","nee","bleven waren","bleven waren",NA,NA,1310,"""history"" ""secular""","""Jacob van Maerlant""","""1300-1325""","""vers""","""Spiegel historiael (eerste partie / derde partie / vierde partie [aandeel Maerlant])""","""INT_3ec664dd-3760-4398-b26c-7dbad70eb5f6""","""Spiegel historiael (eerste partie / derde partie / vierde partie [aandeel Maerlant])""","Vlaanderen","zuid","""non-fiction"""
"27","INT_3ec664dd-3760-4398-b26c-7dbad70eb5f6",", dats wonder groot, Die nieuwinge"," was bleven"," doot, Ende seide: ""Ic bringhe","blijven","nee","3sing","hoofdzin","SV","PV-VD","nee","nee","nee","was bleven","was bleven",NA,NA,1310,"""history"" ""secular""","""Jacob van Maerlant""","""1300-1325""","""vers""","""Spiegel historiael (eerste partie / derde partie / vierde partie [aandeel Maerlant])""","""INT_3ec664dd-3760-4398-b26c-7dbad70eb5f6""","""Spiegel historiael (eerste partie / derde partie / vierde partie [aandeel Maerlant])""","Vlaanderen","zuid","""non-fiction"""
"28","INT_79c9f5f8-4de6-4e57-a160-5ff8f7bd303f"," wel of die substancie diere"," bleven es"," geheel daer die ore bi","blijven","nee","3sing","bijzin","SV","VD-PV","nee","nee","nee","bleven es","bleven es",NA,NA,1350,"""artes"" ""medicine"" ""secular""","""Jan Yperman""","""1351-1351""","""proza""","""Cyrurgie""","""INT_79c9f5f8-4de6-4e57-a160-5ff8f7bd303f""","""Cyrurgie""","rest","onbekend","""non-fiction"""
"29","INT_b94d9aaf-105c-45f3-ad2b-2ab854ef880a"," das, Dat pouder dat har"," bleven was",": Si wanes hebben te done","blijven","nee","3sing","bijzin","SV","VD-PV","nee","nee","nee","bleven was","bleven was",NA,NA,1320,"""chivalric romance"" ""epic"" ""secular""","""unknown""","""1300-1350""","""vers""","""Roman van Lancelot, Haagse codex""","""INT_b94d9aaf-105c-45f3-ad2b-2ab854ef880a""","""Roman van Lancelot, Haagse codex""","Vlaanderen","zuid","""fiction"""
"30","INT_3ec664dd-3760-4398-b26c-7dbad70eb5f6"," weten Dat haer here doot"," es bleven",", Hebben si hem upghegheven Ende","blijven","nee","3sing","bijzin","SV","PV-VD","nee","nee","nee","es bleven","es bleven",NA,NA,1310,"""history"" ""secular""","""Jacob van Maerlant""","""1300-1325""","""vers""","""Spiegel historiael (eerste partie / derde partie / vierde partie [aandeel Maerlant])""","""INT_3ec664dd-3760-4398-b26c-7dbad70eb5f6""","""Spiegel historiael (eerste partie / derde partie / vierde partie [aandeel Maerlant])""","Vlaanderen","zuid","""non-fiction"""
"31","INT_3ec664dd-3760-4398-b26c-7dbad70eb5f6"," mare Dat sijn wijf doot"," bleven ware"," Ende Alexander hare doot Beweende","blijven","nee","3sing","bijzin","SV","VD-PV","nee","nee","nee","bleven ware","bleven ware",NA,NA,1310,"""history"" ""secular""","""Jacob van Maerlant""","""1300-1325""","""vers""","""Spiegel historiael (eerste partie / derde partie / vierde partie [aandeel Maerlant])""","""INT_3ec664dd-3760-4398-b26c-7dbad70eb5f6""","""Spiegel historiael (eerste partie / derde partie / vierde partie [aandeel Maerlant])""","Vlaanderen","zuid","""non-fiction"""
"32","INT_33aca54e-d41a-4b40-ae00-c7f9e465f208"," also saen als die koninginne"," Bleven was",", in den beginne, So bleef","blijven","nee","3sing","bijzin","SV","VD-PV","nee","nee","nee","Bleven was","Bleven was",NA,NA,1420,"""chivalric romance"" ""epic"" ""secular""","""Jacob van Maerlant""","""1415-1435""","""vers""","""Historie van den grale""","""INT_33aca54e-d41a-4b40-ae00-c7f9e465f208""","""Historie van den grale""","Vlaanderen","zuid","""fiction"""
"33","INT_3ec664dd-3760-4398-b26c-7dbad70eb5f6"," sijn leven, Die int gravescap"," sijn bleven",". Deen hiet Diederic, die was","blijven","nee","3pl","bijzin","SV","PV-VD","nee","nee","nee","sijn bleven","sijn bleven",NA,NA,1310,"""history"" ""secular""","""Jacob van Maerlant""","""1300-1325""","""vers""","""Spiegel historiael (eerste partie / derde partie / vierde partie [aandeel Maerlant])""","""INT_3ec664dd-3760-4398-b26c-7dbad70eb5f6""","""Spiegel historiael (eerste partie / derde partie / vierde partie [aandeel Maerlant])""","Vlaanderen","zuid","""non-fiction"""
"34","INT_cdc288b9-9eca-4d98-819f-2f0089b0673a"," pelgrim die daer biden coninc"," gebleven is","?"" Reinout seide: ""Het is myn","blijven","ja","3sing","bijzin","SV","VD-PV","nee","nee","nee","gebleven is","gebleven is",NA,NA,1500,"""chapbook"" ""chivalric romance"" ""secular""","""unknown""","""1508-1508""","""proza""","""Historie vanden vier heemskinderen""","""INT_cdc288b9-9eca-4d98-819f-2f0089b0673a""","""Historie vanden vier heemskinderen""","Holland","noord","""fiction"""
"35","INT_308a2491-c67b-40bd-8142-2954c63d2bf1"," haerre scaren Die met hen"," bleven waren"," dan, Ontrent twintich dusent man","blijven","nee","3pl","bijzin","SV","VD-PV","nee","nee","nee","bleven waren","bleven waren",NA,NA,1470,"""history"" ""secular""","""Jan van Boendale""","""1460-1480""","""vers""","""Brabantsche yeesten (boek 1-5)""","""INT_308a2491-c67b-40bd-8142-2954c63d2bf1""","""Brabantsche yeesten (boek 1-5)""","rest","onbekend","""non-fiction"""
"36","INT_737a103d-1d4b-4558-b3fe-4146265e97a5"," Op die erde daer hi"," ware Bleuen"," dat wet oppenbare Onder die","blijven","nee","3sing","bijzin","SV","PV-VD","nee","nee","nee","ware Bleuen","ware Bleuen",NA,NA,1320,"""chivalric romance"" ""epic"" ""secular""","""unknown""","""1300-1350""","""vers""","""Roman van Caesar""","""INT_737a103d-1d4b-4558-b3fe-4146265e97a5""","""Roman van Caesar""","rest","zuid","""fiction"""
"37","INT_2926ed90-08a4-4618-b8c3-04db5420f3ed"," xxxix. Doen coninc Willem doet"," was bleven",". Daer sine vriende om rouwe","blijven","nee","3sing","bijzin","SV","PV-VD","nee","nee","nee","was bleven","was bleven",NA,NA,1320,"""history"" ""secular""","""Lodewijk van Velthem""","""1315-1335""","""vers""","""Spiegel historiael (vijfde partie)""","""INT_2926ed90-08a4-4618-b8c3-04db5420f3ed""","""Spiegel historiael (vijfde partie)""","Brabant","zuid","""non-fiction"""
"38","INT_e8e74c51-1046-4df9-8520-49b03ebfa1ab"," dach besceen. Hoe wel mochtic"," sijn bleven"," doet, Dat ic prijs hadde","blijven","nee","1sing","hoofdzin","SV","PV-VD","nee","nee","nee","sijn bleven","sijn bleven",NA,NA,1370,"""chivalric romance"" ""epic"" ""secular""","""unknown""","""1350-1400""","""vers""","""Parthonopeus van Bloys, fragment Brussel""","""INT_e8e74c51-1046-4df9-8520-49b03ebfa1ab""","""Parthonopeus van Bloys, fragment Brussel""","Vlaanderen","zuid","""fiction"""
"39","INT_6b6bc900-2aa9-45ee-b598-56ba501af8d2"," gheslachte der sarasinen die hier"," ghebleven sijn"," voor constantinobelen. ofte selve daer","blijven","ja","3pl","bijzin","SV","VD-PV","nee","nee","nee","ghebleven sijn","ghebleven sijn",NA,NA,1510,"""chapbook"" ""chivalric romance"" ""secular""","""unknown""","""1516-1516""","""proza""","""Die schoone hystorie van Margrieten des hertoghen dochter van Lymborch ende van haer broeder Heyndrick""","""INT_6b6bc900-2aa9-45ee-b598-56ba501af8d2""","""Die schoone hystorie van Margrieten des hertoghen dochter van Lymborch ende van haer broeder Heyndrick""","Brabant","zuid","""fiction"""
"40","INT_5004a7ff-78a6-4641-bb01-fe13a7834a00"," te voren. Ende die wortelen"," waren bleven"," mits den wille Goids ende","blijven","nee","3pl","hoofdzin","SV","PV-VD","nee","nee","nee","waren bleven","waren bleven",NA,NA,1470,"""philosophy / ethics"" ""secular""","""unknown""","""1460-1480""","""proza""","""Sidrac""","""INT_5004a7ff-78a6-4641-bb01-fe13a7834a00""","""Sidrac""","Brabant","zuid","""non-fiction"""
"41","INT_915f3a3b-6260-469a-9358-cd1a91487580"," de humoren die daer in"," siin bleuen"," achter die purgacien die de","blijven","nee","3pl","bijzin","SV","PV-VD","nee","nee","nee","siin bleuen","siin bleuen",NA,NA,1350,"""artes"" ""medicine"" ""secular""","""Jan Yperman""","""1351-1351""","""proza""","""Medicina""","""INT_915f3a3b-6260-469a-9358-cd1a91487580""","""Medicina""","rest","onbekend","""non-fiction"""
"42","INT_d7790fa5-6d65-492a-887b-8ca24f29344a"," si vielen daer, ende die"," bleven waren",", vloen ten berghe. Ende sy","blijven","nee","3pl","bijzin","SV","VD-PV","nee","nee","nee","bleven waren","bleven waren",NA,NA,1440,"""biblical texts"" ""religious""","""Bijbelvertaler van 1360""","""1435-1455""","""proza""","""Bijbelvertaling van 1360, Oude Testament, Zuidnederlandse Historiebijbel, Eerste Historiebijbel""","""INT_d7790fa5-6d65-492a-887b-8ca24f29344a""","""Bijbelvertaling van 1360, Oude Testament, Zuidnederlandse Historiebijbel, Eerste Historiebijbel""","rest","onbekend","""non-fiction"""
"43","INT_2af8437b-1883-464b-808c-5446e5e31386"," in dien herden strijt Vast"," is bleuen"," sinen tijt Ende an gheloue","blijven","nee","3sing","bijzin","VS","PV-VD","nee","nee","nee","is bleuen","is bleuen",NA,NA,1380,"""religious"" ""theology / ethics""","""unknown""","""1375-1400""","""vers""","""Commentaar op het Hooglied (berijmd)""","""INT_2af8437b-1883-464b-808c-5446e5e31386""","""Commentaar op het Hooglied (berijmd)""","rest","onbekend","""non-fiction"""
"44","INT_2464880c-e883-44a5-9667-e882fc260c01",", Na der swoenen inhouden; Maer"," sijn bleven",", boven dat, Swaerlijc ghevangen ende","blijven","nee","3pl","hoofdzin","SV","PV-VD","nee","nee","nee","sijn bleven","sijn bleven",NA,NA,1430,"""history"" ""secular""","""unknown""","""1432-1432""","""vers""","""Brabantsche yeesten (boek 6)""","""INT_2464880c-e883-44a5-9667-e882fc260c01""","""Brabantsche yeesten (boek 6)""","rest","onbekend","""non-fiction"""
"45","INT_ab8a997a-dfd9-4add-907c-3ed857f80c86"," wiste ic gaerne waer dye"," ghebleuen waren",": Dat een heer coninck dat","blijven","ja","3pl","bijzin","SV","VD-PV","nee","nee","nee","ghebleuen waren","ghebleuen waren",NA,NA,1470,"""chapbook"" ""secular""","""unknown""","""1479-1479""","""proza""","""Historie van Reynaert die vos""","""INT_ab8a997a-dfd9-4add-907c-3ed857f80c86""","""Historie van Reynaert die vos""","rest","onbekend","""fiction"""
"46","INT_c1b59bb4-9858-4fc7-8230-77901b694f49"," hi die plaetse weder wan",", Was bleven"," gevaen her Jan Van Hoesdinne","blijven","nee","3sing","hoofdzin","VS","PV-VD","nee","nee","nee","Was bleven","Was bleven",NA,",   ",1440,"""history"" ""secular""","""Jan van Heelu""","""1430-1450""","""vers""","""Rijmkroniek van Woeringen""","""INT_c1b59bb4-9858-4fc7-8230-77901b694f49""","""Rijmkroniek van Woeringen""","Brabant","zuid","""non-fiction"""
"47","INT_c1b59bb4-9858-4fc7-8230-77901b694f49",", moort ende brant, Dat ongetelt"," es bleven",". Wat dat ieghen een dreven","blijven","nee","3sing","bijzin","SV","PV-VD","nee","nee","nee","es bleven","es bleven",NA,NA,1440,"""history"" ""secular""","""Jan van Heelu""","""1430-1450""","""vers""","""Rijmkroniek van Woeringen""","""INT_c1b59bb4-9858-4fc7-8230-77901b694f49""","""Rijmkroniek van Woeringen""","Brabant","zuid","""non-fiction"""
"48","INT_feebe687-0908-4cde-a825-6f0f5b37941f"," minen scouden Dat ghi dus"," zijt bleven"," doot Duer jou hebbic den","blijven","nee","2pl","bijzin","SV","PV-VD","nee","nee","nee","zijt bleven","zijt bleven",NA,NA,1350,"""chivalric romance"" ""epic"" ""secular""","""Penninc + Pieter Vostaert""","""1350-1350""","""vers""","""Roman van Walewein""","""INT_feebe687-0908-4cde-a825-6f0f5b37941f""","""Roman van Walewein""","Vlaanderen","zuid","""fiction"""
"49","INT_49fb151c-d9cb-42bb-9185-0838cc419261"," na Nero, dat Peter doot"," was bleven",", Dien hi te pijnne hadde","blijven","nee","3sing","bijzin","SV","PV-VD","nee","nee","nee","was bleven","was bleven",NA,NA,1390,"""history"" ""secular""","""Philip Utenbroeke""","""1393-1402""","""vers""","""Spiegel historiael (tweede partie), fragment Wenen""","""INT_49fb151c-d9cb-42bb-9185-0838cc419261""","""Spiegel historiael (tweede partie), fragment Wenen""","rest","onbekend","""non-fiction"""
"50","INT_c1b59bb4-9858-4fc7-8230-77901b694f49",", Met alden rechte, dat hem"," was bleven",". Dit wert ghevorwaert ende bescreven","blijven","nee","3sing","bijzin","SV","PV-VD","nee","nee","nee","was bleven","was bleven",NA,NA,1440,"""history"" ""secular""","""Jan van Heelu""","""1430-1450""","""vers""","""Rijmkroniek van Woeringen""","""INT_c1b59bb4-9858-4fc7-8230-77901b694f49""","""Rijmkroniek van Woeringen""","Brabant","zuid","""non-fiction"""
"51","INT_c1b59bb4-9858-4fc7-8230-77901b694f49",", dat belet Met aventuren lichte"," waer bleven",", Hadde hi hulde gehadt sijns","blijven","nee","3sing","hoofdzin","SV","PV-VD","nee","nee","nee","waer bleven","waer bleven",NA,NA,1440,"""history"" ""secular""","""Jan van Heelu""","""1430-1450""","""vers""","""Rijmkroniek van Woeringen""","""INT_c1b59bb4-9858-4fc7-8230-77901b694f49""","""Rijmkroniek van Woeringen""","Brabant","zuid","""non-fiction"""
